exec	Workers	Classifiers / Worker	in proc times	in proc avg	/usr/bin/time elapsed	/usr/bin/time	diff	Threads	Speedup (old/new)	Eficiencia (s/threads)	Hits	Unk
./bin/offline	1	0	1.93E+02	1.93E+02	3:13.08	1.93E+02	3.83E-02		-	-	-	-
hostname	12	1			0:00.74	7.40E-01			-	-	-	-
./bin/ond	1	1	1.11E+02	1.11E+02	1:51.64	1.12E+02	3.63E-01	1	-	-	38.83%	5.34%
-n 2 ./bin/tmpi	1	1	2.45E+02	2.46E+02	4:06.89	2.47E+02	1.23E+00	1	45.22%	0.4521851837	35.59%	5.43%
			2.46E+02									
-n 3 ./bin/tmpi	2	1	1.32E+02	1.21E+02	1:44.85	1.05E+02	-1.62E+01	2	106.48%	0.5323795899	35.47%	4.62%
			1.01E+02									
			1.30E+02									
-n 4 ./bin/tmpi	3	1	1.28E+02	1.28E+02	2:21.42	1.41E+02	1.32E+01	3	78.94%	0.263140527	35.01%	7.42%
			1.26E+02									
			1.34E+02									
			1.26E+02									